ca.rmen.android.poetassistant - Crashes by Android Version for 2017-03-15 - 2019-02-24
,,Metric,Crashes,Notes
,,Dimension,All Android versions
Period,Date
2017-03-15 - 2019-02-24,2017-03-15,,2
2017-03-15 - 2019-02-24,2017-03-16,,24
2017-03-15 - 2019-02-24,2017-03-17,,3
2017-03-15 - 2019-02-24,2017-03-18,,15
2017-03-15 - 2019-02-24,2017-03-19,,35,Rollout of release - Increased rollout of 1.18.0 to 100%
2017-03-15 - 2019-02-24,2017-03-20,,5
2017-03-15 - 2019-02-24,2017-03-21,,3
2017-03-15 - 2019-02-24,2017-03-22,,10
2017-03-15 - 2019-02-24,2017-03-23,,33
2017-03-15 - 2019-02-24,2017-03-24,,7
2017-03-15 - 2019-02-24,2017-03-25,,12
2017-03-15 - 2019-02-24,2017-03-26,,14
2017-03-15 - 2019-02-24,2017-03-27,,23
2017-03-15 - 2019-02-24,2017-03-28,,12
2017-03-15 - 2019-02-24,2017-03-29,,14
2017-03-15 - 2019-02-24,2017-03-30,,14
2017-03-15 - 2019-02-24,2017-03-31,,5
2017-03-15 - 2019-02-24,2017-04-01,,18
2017-03-15 - 2019-02-24,2017-04-02,,5
2017-03-15 - 2019-02-24,2017-04-03,,15
2017-03-15 - 2019-02-24,2017-04-04,,13
2017-03-15 - 2019-02-24,2017-04-05,,6
2017-03-15 - 2019-02-24,2017-04-06,,12
2017-03-15 - 2019-02-24,2017-04-07,,13
2017-03-15 - 2019-02-24,2017-04-08,,4
2017-03-15 - 2019-02-24,2017-04-09,,3
2017-03-15 - 2019-02-24,2017-04-10,,14
2017-03-15 - 2019-02-24,2017-04-11,,5
2017-03-15 - 2019-02-24,2017-04-12,,1
2017-03-15 - 2019-02-24,2017-04-13,,1
2017-03-15 - 2019-02-24,2017-04-14,,5
2017-03-15 - 2019-02-24,2017-04-15,,14
2017-03-15 - 2019-02-24,2017-04-16,,12
2017-03-15 - 2019-02-24,2017-04-17,,3
2017-03-15 - 2019-02-24,2017-04-18,,17
2017-03-15 - 2019-02-24,2017-04-19,,7
2017-03-15 - 2019-02-24,2017-04-20,,13
2017-03-15 - 2019-02-24,2017-04-21,,5
2017-03-15 - 2019-02-24,2017-04-22,,9
2017-03-15 - 2019-02-24,2017-04-23,,10
2017-03-15 - 2019-02-24,2017-04-24,,11
2017-03-15 - 2019-02-24,2017-04-25,,4
2017-03-15 - 2019-02-24,2017-04-26,,5
2017-03-15 - 2019-02-24,2017-04-27,,10
2017-03-15 - 2019-02-24,2017-04-28,,9
2017-03-15 - 2019-02-24,2017-04-29,,6
2017-03-15 - 2019-02-24,2017-04-30,,9,Rollout of release - Started rollout of 1.18.1 at 5%
2017-03-15 - 2019-02-24,2017-05-01,,6
2017-03-15 - 2019-02-24,2017-05-02,,2
2017-03-15 - 2019-02-24,2017-05-03,,11,Rollout of release - Increased rollout of 1.18.1 to 20%
